category,text
sports,"The final score was 3-2 after a thrilling overtime."
politics,"The senator announced a new policy initiative today."
technology,"Apple is set to unveil its next iPhone next month."
entertainment,"The movie received a standing ovation at the film festival."
health,"Doctors recommend at least 30 minutes of exercise daily."
finance,"Stock markets closed higher after a strong jobs report."
travel,"Paris remains one of the most visited cities in the world."
science,"NASA successfully launched its latest Mars rover."
education,"Online learning platforms have seen a surge in enrollment."
environment,"Climate activists rallied outside the city hall for new policies."
health, "An apple has 300 calories per serving."
